,Processor,Prompt,Model,F1,Support,TP,FP,TN,FN
0,method,llm4cc-simple_prompt-semantical,deepseek-coder:6.7b,0.5951219512195122,2163,305,0,1443,415
1,method,llm4cc-reasoning-patch-semantical,deepseek-coder:6.7b,0.6298763082778306,2300,331,0,1580,389
2,method,llm4cc-similarity_line-patch-semantical,deepseek-coder:6.7b,0.6389413988657845,2166,338,0,1446,382
3,method,llm4cc-simple_prompt-identical,deepseek-coder:6.7b,0.5350966429298067,2035,263,0,1315,457
4,method,llm4cc-reasoning-patch-identical,deepseek-coder:6.7b,0.667900092506938,2580,361,0,1860,359
5,method,llm4cc-similarity_line-patch-identical,deepseek-coder:6.7b,0.6193672099712368,2050,323,0,1330,397
6,method,llm4cc-simple_prompt-semantical,qwen2.5-coder:7b,0.918106686701728,3121,611,0,2401,109
7,method,llm4cc-reasoning-patch-semantical,qwen2.5-coder:7b,0.9237668161434978,3044,618,0,2324,102
8,method,llm4cc-similarity_line-patch-semantical,qwen2.5-coder:7b,0.9372693726937269,3223,635,0,2503,85
9,method,llm4cc-simple_prompt-identical,qwen2.5-coder:7b,0.918918918918919,3117,612,0,2397,108
10,method,llm4cc-reasoning-patch-identical,qwen2.5-coder:7b,0.9156626506024096,3097,608,0,2377,112
11,method,llm4cc-similarity_line-patch-identical,qwen2.5-coder:7b,0.9317507418397626,3217,628,0,2497,92
12,method,llm4cc-simple_prompt-semantical,hermes3:8b,0.9082638362395754,2993,599,0,2273,121
13,method,llm4cc-reasoning-patch-semantical,hermes3:8b,0.8999236058059588,3129,589,0,2409,131
14,method,llm4cc-similarity_line-patch-semantical,hermes3:8b,0.8302193338748984,2735,511,0,2015,209
15,method,llm4cc-simple_prompt-identical,hermes3:8b,0.9090909090909091,3055,600,0,2335,120
16,method,llm4cc-reasoning-patch-identical,hermes3:8b,0.875,3019,560,0,2299,160
17,method,llm4cc-similarity_line-patch-identical,hermes3:8b,0.833063209076175,2761,514,0,2041,206
