uid,inferred_label,gt_correctness
aprenfl-defects4j-Chart-1-TBar-Patch_2781_1214,Overfitting,Correct
aprenfl-defects4j-Chart-11-TBar-Patch_102_60,Correct,Correct
aprenfl-defects4j-Chart-12-TBar-Patch_39_22,Overfitting,Overfitting
aprenfl-defects4j-Chart-13-TBar-Patch_29_18,Overfitting,Overfitting
aprenfl-defects4j-Chart-14-TBar-Patch_2034_473,Overfitting,Overfitting
aprenfl-defects4j-Chart-14-TBar-Patch_2631_615,Overfitting,Overfitting
aprenfl-defects4j-Chart-14-TBar-Patch_2669_616,Overfitting,Overfitting
aprenfl-defects4j-Chart-14-TBar-Patch_974_207,Overfitting,Overfitting
aprenfl-defects4j-Chart-15-TBar-Patch_220_119,Overfitting,Overfitting
aprenfl-defects4j-Chart-19-TBar-Patch_143_118,Correct,Correct
aprenfl-defects4j-Chart-19-TBar-Patch_68_59,Correct,Correct
aprenfl-defects4j-Chart-24-TBar-Patch_42_20,Correct,Correct
aprenfl-defects4j-Chart-25-TBar-Patch_12_9,Overfitting,Overfitting
aprenfl-defects4j-Chart-26-TBar-Patch_5751_2399,Overfitting,Overfitting
aprenfl-defects4j-Chart-3-TBar-Patch_440_242,Overfitting,Overfitting
aprenfl-defects4j-Chart-4-TBar-Patch_2689_1263,Correct,Correct
aprenfl-defects4j-Chart-5-TBar-Patch_52_1,Overfitting,Overfitting
aprenfl-defects4j-Chart-7-TBar-Patch_2_2,Overfitting,Overfitting
aprenfl-defects4j-Chart-9-TBar-Patch_497_311,Correct,Correct
aprenfl-defects4j-Closure-107-TBar-Patch_356_164,Overfitting,Overfitting
aprenfl-defects4j-Closure-109-TBar-Patch_270_73,Overfitting,Overfitting
aprenfl-defects4j-Closure-115-TBar-Patch_704_253,Unknown,Overfitting
aprenfl-defects4j-Closure-12-TBar-Patch_160_37,Overfitting,Overfitting
aprenfl-defects4j-Closure-126-TBar-Patch_6_3,Overfitting,Overfitting
aprenfl-defects4j-Closure-133-TBar-Patch_433_171,Overfitting,Overfitting
aprenfl-defects4j-Closure-21-TBar-Patch_260_40,Overfitting,Overfitting
aprenfl-defects4j-Closure-22-TBar-Patch_5_5,Overfitting,Overfitting
aprenfl-defects4j-Closure-62-TBar-Patch_43_31,Correct,Correct
aprenfl-defects4j-Closure-66-TBar-Patch_9_6,Overfitting,Overfitting
aprenfl-defects4j-Closure-73-TBar-Patch_146_58,Correct,Correct
aprenfl-defects4j-Lang-10-TBar-Patch_2435_1012,Unknown,Correct
aprenfl-defects4j-Lang-13-TBar-Patch_18_6,Overfitting,Overfitting
aprenfl-defects4j-Lang-18-TBar-Patch_5849_3524,Overfitting,Overfitting
aprenfl-defects4j-Lang-20-TBar-Patch_1220_617,Unknown,Overfitting
aprenfl-defects4j-Lang-20-TBar-Patch_336_182,Unknown,Overfitting
aprenfl-defects4j-Lang-22-TBar-Patch_1806_847,Unknown,Overfitting
aprenfl-defects4j-Lang-24-TBar-Patch_2414_1931,Overfitting,Overfitting
aprenfl-defects4j-Lang-27-TBar-Patch_1259_919,Overfitting,Overfitting
aprenfl-defects4j-Lang-33-TBar-Patch_47_28,Unknown,Correct
aprenfl-defects4j-Lang-39-TBar-Patch_1350_1039,Unknown,Overfitting
aprenfl-defects4j-Lang-41-TBar-Patch_289_206,Overfitting,Overfitting
aprenfl-defects4j-Lang-41-TBar-Patch_2958_1870,Overfitting,Overfitting
aprenfl-defects4j-Lang-43-TBar-Patch_368_183,Overfitting,Overfitting
aprenfl-defects4j-Lang-44-TBar-Patch_4046_2567,Overfitting,Overfitting
aprenfl-defects4j-Lang-45-TBar-Patch_310_221,Overfitting,Overfitting
aprenfl-defects4j-Lang-51-TBar-Patch_180_129,Overfitting,Overfitting
aprenfl-defects4j-Lang-57-TBar-Patch_44_17,Correct,Correct
aprenfl-defects4j-Lang-58-TBar-Patch_1789_1078,Overfitting,Overfitting
aprenfl-defects4j-Lang-59-TBar-Patch_1657_1032,Correct,Correct
