Index,Patch,Oracle,Predicted value,tool_patch_uid
0,correct/patch1-Chart-1-AVATAR.patch,correct,Overfitting,llm4pc-defects4j-Chart-1-AVATAR-patch1
1,correct/patch1-Chart-1-SequenceR.patch,correct,Overfitting,llm4pc-defects4j-Chart-1-SequenceR-patch1
2,correct/patch1-Chart-1-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-1-dev-patch1
3,correct/patch1-Chart-10-dev.patch,correct,Correct,llm4pc-defects4j-Chart-10-dev-patch1
4,correct/patch1-Chart-11-AVATAR.patch,correct,Correct,llm4pc-defects4j-Chart-11-AVATAR-patch1
5,correct/patch1-Chart-11-SketchFix.patch,correct,Correct,llm4pc-defects4j-Chart-11-SketchFix-patch1
6,correct/patch1-Chart-11-dev.patch,correct,Correct,llm4pc-defects4j-Chart-11-dev-patch1
7,correct/patch1-Chart-12-Arja.patch,correct,Overfitting,llm4pc-defects4j-Chart-12-Arja-patch1
8,correct/patch1-Chart-12-dev.patch,correct,Correct,llm4pc-defects4j-Chart-12-dev-patch1
9,correct/patch1-Chart-13-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-13-dev-patch1
10,correct/patch1-Chart-14-ACS.patch,correct,Overfitting,llm4pc-defects4j-Chart-14-ACS-patch1
11,correct/patch1-Chart-14-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-14-dev-patch1
12,correct/patch1-Chart-15-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-15-dev-patch1
13,correct/patch1-Chart-16-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-16-dev-patch1
14,correct/patch1-Chart-17-dev.patch,correct,Correct,llm4pc-defects4j-Chart-17-dev-patch1
15,correct/patch1-Chart-18-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-18-dev-patch1
16,correct/patch1-Chart-19-ACS.patch,correct,Overfitting,llm4pc-defects4j-Chart-19-ACS-patch1
17,correct/patch1-Chart-19-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-19-dev-patch1
18,correct/patch1-Chart-2-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-2-dev-patch1
19,correct/patch1-Chart-20-SimFix.patch,correct,Correct,llm4pc-defects4j-Chart-20-SimFix-patch1
20,correct/patch1-Chart-20-TBar.patch,correct,Correct,llm4pc-defects4j-Chart-20-TBar-patch1
21,correct/patch1-Chart-20-dev.patch,correct,Correct,llm4pc-defects4j-Chart-20-dev-patch1
22,correct/patch1-Chart-21-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-21-dev-patch1
23,correct/patch1-Chart-22-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-22-dev-patch1
24,correct/patch1-Chart-23-dev.patch,correct,Correct,llm4pc-defects4j-Chart-23-dev-patch1
25,correct/patch1-Chart-24-AVATAR.patch,correct,Correct,llm4pc-defects4j-Chart-24-AVATAR-patch1
26,correct/patch1-Chart-24-FixMiner.patch,correct,Correct,llm4pc-defects4j-Chart-24-FixMiner-patch1
27,correct/patch1-Chart-24-Jaid.patch,correct,Correct,llm4pc-defects4j-Chart-24-Jaid-patch1
28,correct/patch1-Chart-24-SOFix.patch,correct,Correct,llm4pc-defects4j-Chart-24-SOFix-patch1
29,correct/patch1-Chart-24-dev.patch,correct,Correct,llm4pc-defects4j-Chart-24-dev-patch1
30,correct/patch1-Chart-25-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-25-dev-patch1
31,correct/patch1-Chart-26-Jaid.patch,correct,Correct,llm4pc-defects4j-Chart-26-Jaid-patch1
32,correct/patch1-Chart-26-SOFix.patch,correct,Correct,llm4pc-defects4j-Chart-26-SOFix-patch1
33,correct/patch1-Chart-26-dev.patch,correct,Correct,llm4pc-defects4j-Chart-26-dev-patch1
34,correct/patch1-Chart-3-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-3-dev-patch1
35,correct/patch1-Chart-4-AVATAR.patch,correct,Correct,llm4pc-defects4j-Chart-4-AVATAR-patch1
36,correct/patch1-Chart-4-SOFix.patch,correct,Correct,llm4pc-defects4j-Chart-4-SOFix-patch1
37,correct/patch1-Chart-4-dev.patch,correct,Correct,llm4pc-defects4j-Chart-4-dev-patch1
38,correct/patch1-Chart-5-Nopol2015.patch,correct,Overfitting,llm4pc-defects4j-Chart-5-Nopol-patch1
39,correct/patch1-Chart-5-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-5-dev-patch1
40,correct/patch1-Chart-6-dev.patch,correct,Correct,llm4pc-defects4j-Chart-6-dev-patch1
41,correct/patch1-Chart-7-SimFix.patch,correct,Overfitting,llm4pc-defects4j-Chart-7-SimFix-patch1
42,correct/patch1-Chart-7-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-7-dev-patch1
43,correct/patch1-Chart-8-SketchFix.patch,correct,Correct,llm4pc-defects4j-Chart-8-SketchFix-patch1
44,correct/patch1-Chart-8-dev.patch,correct,Correct,llm4pc-defects4j-Chart-8-dev-patch1
45,correct/patch1-Chart-9-Jaid.patch,correct,Overfitting,llm4pc-defects4j-Chart-9-Jaid-patch1
46,correct/patch1-Chart-9-SequenceR.patch,correct,Overfitting,llm4pc-defects4j-Chart-9-SequenceR-patch1
47,correct/patch1-Chart-9-SketchFix.patch,correct,Overfitting,llm4pc-defects4j-Chart-9-SketchFix-patch1
48,correct/patch1-Chart-9-TBar.patch,correct,Overfitting,llm4pc-defects4j-Chart-9-TBar-patch1
49,correct/patch1-Chart-9-dev.patch,correct,Overfitting,llm4pc-defects4j-Chart-9-dev-patch1
50,correct/patch1-Closure-1-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-1-dev-patch1
51,correct/patch1-Closure-10-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-10-dev-patch1
52,correct/patch1-Closure-100-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-100-dev-patch1
53,correct/patch1-Closure-101-dev.patch,correct,Correct,llm4pc-defects4j-Closure-101-dev-patch1
54,correct/patch1-Closure-102-dev.patch,correct,Correct,llm4pc-defects4j-Closure-102-dev-patch1
